BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,IESO,ISNE,PJM,Subregion ZONF,Subregion ZONC,Subregion ZONI,Subregion ZONB,Subregion ZONG,Subregion ZONK,Subregion ZONH,Subregion ZONE,Subregion ZONJ,Subregion ZOND,Subregion ZONA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NYIS,05Oct2015,Eastern,N,"384,301","392,746","382,280","-10,466",,,,,,,,,,"-4,508","-9,187","20,240","-17,013",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,06Oct2015,Eastern,N,"385,844","396,839","387,552","-9,287",,,,,,,,,,"-4,113","-10,694","15,907","-10,385",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,07Oct2015,Eastern,N,"390,315","400,297","384,943","-15,354",,,,,,,,,,"-3,387","-10,401","15,560","-17,123",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,08Oct2015,Eastern,N,"387,513","399,481","379,575","-19,906",,,,,,,,,,"-4,974","-11,310","16,594","-20,220",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,09Oct2015,Eastern,N,"400,269","410,464","391,523","-18,941",,,,,,,,,,"-3,627","-17,365","13,262","-11,206",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,10Oct2015,Eastern,N,"358,578","358,580","339,699","-18,881",,,,,,,,,,"-4,189","-11,223","11,359","-14,826",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,11Oct2015,Eastern,N,"346,096","352,368","333,578","-18,790",,,,,,,,,,"-3,925","-19,507","12,584","-7,942",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,12Oct2015,Eastern,N,"389,842","392,848","366,426","-26,422",,,,,,,,,,"-2,834","-26,173","12,261","-9,676",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,13Oct2015,Eastern,N,"396,122","406,170","387,879","-18,291",,,,,,,,,,"-2,459","-19,093","12,580","-9,321",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,14Oct2015,Eastern,N,"389,060","396,997","377,551","-19,446",,,,,,,,,,"-3,269","-19,455","13,564","-10,284",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,15Oct2015,Eastern,N,"385,373","393,113","379,230","-13,883",,,,,,,,,,-150,"-17,738","11,837","-7,828",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,16Oct2015,Eastern,N,"380,561","389,667","382,296","-7,371",,,,,,,,,,-652,"-12,924","16,703","-10,503",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,17Oct2015,Eastern,N,"355,772","366,171","353,140","-13,031",,,,,,,,,,-621,"-19,191","22,994","-16,219",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,18Oct2015,Eastern,N,"353,624","372,176","361,786","-10,390",,,,,,,,,,"-2,522","-20,507","31,566","-18,933",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,19Oct2015,Eastern,N,"396,892","410,967","402,674","-8,293",,,,,,,,,,"-2,129","-24,806","29,885","-11,241",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,20Oct2015,Eastern,N,"390,249","403,340","401,866","-1,474",,,,,,,,,,"-3,361","-23,765","24,490","1,162",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,21Oct2015,Eastern,N,"388,352","399,257","397,685","-1,572",,,,,,,,,,"-4,277","-25,530","26,323","1,916",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,22Oct2015,Eastern,N,"391,771","401,333","390,804","-10,529",,,,,,,,,,"-4,427","-25,822","21,977","-2,261",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,23Oct2015,Eastern,N,"384,335","391,872","371,331","-20,541",,,,,,,,,,"-4,349","-21,090","25,531","-20,632",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,24Oct2015,Eastern,N,"362,075","372,563","357,779","-14,784",,,,,,,,,,"-4,392","-25,680","34,367","-19,073",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,25Oct2015,Eastern,N,"349,375","362,732","349,296","-13,436",,,,,,,,,,"-4,493","-21,398","32,391","-19,931",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,26Oct2015,Eastern,N,"388,065","398,085","379,607","-18,478",,,,,,,,,,"-16,162","-11,579","27,858","-18,589",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,27Oct2015,Eastern,N,"391,167","404,554","374,703","-29,851",,,,,,,,,,"-20,196","-20,709","34,234","-23,182",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,28Oct2015,Eastern,N,"398,275","414,160","390,524","-23,636",,,,,,,,,,"-20,227","-21,067","37,089","-19,434",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,29Oct2015,Eastern,N,"398,506","404,410","369,191","-35,219",,,,,,,,,,"-20,594","-23,281","38,373","-29,719",,,,,,,,,,,,,,,,,,,,,,,,,,
