BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SCL,29Nov2015,Pacific,N,"31,575","32,649","16,005","-16,387",,,,,,,,,,"-14,376","-2,089",,,,,,,,,,,,,,,
SCL,30Nov2015,Pacific,N,"34,973","34,619","17,499","-16,840",,,,,,,,,,"-14,084","-2,828",,,,,,,,,,,,,,,
SCL,01Dec2015,Pacific,N,"32,814","32,392","14,484","-17,669",,,,,,,,,,"-15,012","-2,740",,,,,,,,,,,,,,,
SCL,02Dec2015,Pacific,N,"30,530","30,788","14,981","-15,548",,,,,,,,,,"-13,648","-1,966",,,,,,,,,,,,,,,
SCL,03Dec2015,Pacific,N,"29,024","29,418","14,358","-14,779",,,,,,,,,,"-13,922",-905,,,,,,,,,,,,,,,
SCL,04Dec2015,Pacific,N,"29,788","29,840","14,317","-15,230",,,,,,,,,,"-14,038","-1,240",,,,,,,,,,,,,,,
SCL,05Dec2015,Pacific,N,"28,495","29,136","14,948","-13,937",,,,,,,,,,"-12,715","-1,284",,,,,,,,,,,,,,,
SCL,06Dec2015,Pacific,N,"28,120","28,340","13,626","-14,434",,,,,,,,,,"-13,351","-1,166",,,,,,,,,,,,,,,
SCL,07Dec2015,Pacific,N,"29,475","30,693","13,449","-16,967",,,,,,,,,,"-15,267","-1,752",,,,,,,,,,,,,,,
SCL,08Dec2015,Pacific,N,"28,954","29,550","13,487","-15,796",,,,,,,,,,"-14,531","-1,312",,,,,,,,,,,,,,,
SCL,09Dec2015,Pacific,N,"28,413","28,551","16,818","-11,462",,,,,,,,,,"-10,717",-807,,,,,,,,,,,,,,,
SCL,10Dec2015,Pacific,N,"28,970","30,148","21,366","-8,345",,,,,,,,,,"-8,446",28,,,,,,,,,,,,,,,
SCL,11Dec2015,Pacific,N,"31,000","30,846","21,544","-8,849",,,,,,,,,,"-8,566",-341,,,,,,,,,,,,,,,
SCL,12Dec2015,Pacific,N,"29,705","30,072","22,521","-7,102",,,,,,,,,,"-6,927",-232,,,,,,,,,,,,,,,
SCL,13Dec2015,Pacific,N,"29,675","29,994","21,012","-8,678",,,,,,,,,,"-8,526",-170,,,,,,,,,,,,,,,
SCL,14Dec2015,Pacific,N,"32,456","32,541","18,933","-13,299",,,,,,,,,,"-12,357","-1,009",,,,,,,,,,,,,,,
SCL,15Dec2015,Pacific,N,"32,766","32,969","17,104","-15,504",,,,,,,,,,"-15,167",-419,,,,,,,,,,,,,,,
SCL,16Dec2015,Pacific,N,"31,770","31,805","17,857","-13,570",,,,,,,,,,"-12,449","-1,189",,,,,,,,,,,,,,,
SCL,17Dec2015,Pacific,N,"32,080","32,639","18,360","-13,794",,,,,,,,,,"-12,836","-1,035",,,,,,,,,,,,,,,
SCL,18Dec2015,Pacific,N,"32,545","32,350","17,908","-14,062",,,,,,,,,,"-13,566",-566,,,,,,,,,,,,,,,
